,OBJECTID,Petition,Petitioner,FromZone,ToZone,Type,SPA,Overlay,INNOV,Acres,PetAcres,Water,Sewer,CityLimit,ZoningMap,ODZ,CCW,ServiceArea,LuseStaff,UrbanDesign,RezoneStaff,Consistent,ProtestPet,Received,Approved,Decision,Hyperlink,Corrective,Propluse,AdminAppr,AdminApprD,AdminApprP,AdminApprC,SFLOTS,THUNITS,CONDOS,APT,TOTUNITS,OFFICE,RETAIL,HOTELRMS,PARKING,OPENSP,ACRESITE,SHAPESTArea,SHAPESTLength,centroid,lat,lng
1766,567470,2003-084,,R-5,R-6,,no,,,,,,,,,,,,,,,,,,2003/10/20 00:00:00+00,App,,,,,,,,,,,,,,,,,,,14633.080017089844,497.2256965429448,"{'lng': -80.84827895877714, 'lat': 35.21357957538592}",35.21357957538592,-80.84827895877714
1767,567471,1998-034,,INST(CD) SUP,O-1(CD),,no,,,,,,,,,,,,,,,,,,1998/05/18 00:00:00+00,App,,,,,,,,,,,,,,,,,,,159212.99670410153,1726.3546911454955,"{'lng': -80.7366412851323, 'lat': 35.29738484742416}",35.29738484742416,-80.7366412851323
1768,567472,2009-075,Dona M. Patterson,R-12MF,O-1,NC,no,,,0.64,0.64,CMUD,CMUD,YES,78,225,Corridor,Northeast,Cornett_Kathy,Jones_Michelle,Fortune_Solomon,NO,,2009/08/06 00:00:00+00,,Wd,http://charlottenc.gov/planning/Rezoning/RezoningPetitions/2009Petitions/Pages/2009-075.aspx,,,,,,,,,,,,,,,,,,28490.218872070312,796.5471254579293,"{'lng': -80.79459768652116, 'lat': 35.26030513959617}",35.26030513959617,-80.79459768652116
1769,567473,2002-069,,R-3,UR-2(CD),,no,,,,,,,,,,,,,,,,,,2002/07/15 00:00:00+00,App,http://ww.charmeck.org/Planning/Rezoning/2002/2002-069%20approved%20site%20plan.pdf,,,,,,,,,,,,,,,,,,61543.73120117188,1013.3830068756624,"{'lng': -80.82902087564788, 'lat': 35.143983284291856}",35.143983284291856,-80.82902087564788
1770,567474,1988-038,,I-3,UR-C,,no,,,,,,,,,,,,,,,,,,1988/09/19 00:00:00+00,App,,,,,,,,,,,,,,,,,,,416406.8889770508,3393.8273150186233,"{'lng': -80.857780362786, 'lat': 35.23055503711807}",35.23055503711807,-80.857780362786
1771,567475,2016-120,"Charter Properties, Inc.",R-3,R-17MF(CD),CD,no,none,NO,76.77,76.77,CMUD,CMUD,YES,132,,Wedge,Northwest,Alberto Gonzalez,Grant Meacci,Claire Lyte-Graham,,,2016/06/27 00:00:00+00,2017/12/18 00:00:00+00,App,http://charlottenc.gov/planning/Rezoning/RezoningPetitions/2016Petitions/Pages/2016-120.aspx,,Resid8,,,,,,,,,,,,,,,,3311154.5438842773,8743.962051660455,"{'lng': -80.96121513360926, 'lat': 35.15478987257097}",35.15478987257097,-80.96121513360926
1772,567476,2000-054,,R-4,INST,,no,,,,,,,,,,,,,,,,,,2000/06/19 00:00:00+00,App,,,,,,,,,,,,,,,,,,,1789038.202819824,5404.656654888599,"{'lng': -80.7283234171254, 'lat': 35.16711257016981}",35.16711257016981,-80.7283234171254
1773,567477,1989-045(C),,B-2,B-2(CD),,no,,,,,,,,,,,,,,,,,,1989/12/18 00:00:00+00,App,,,,,8/31/1999; 2/10/1993,,"banquet facility allow after 5pm M, F, Sat.; change note #3 - reassign 180000 sq feet of 1.1 million sq feet to Lot # 16",,,,,,,,,,,,90654.2960205078,1243.9325742942626,"{'lng': -80.82574932279636, 'lat': 35.333800549615056}",35.333800549615056,-80.82574932279636
1774,567478,2006-060,Withrow Capital Investments/Cambridge Properties,B-1(CD),NS,CD,no,LLW-PA,,,120.0,CMUD,CMUD,YES,"48,49",402,,Northwest,Moore_Eddie,Howard_John,Keplinger_Tammie,YES,Yes,2006/02/17 00:00:00+00,2006/09/18 00:00:00+00,App, ,,,,,,,,,,,,,,,,,,10522.543334960938,435.2984018977482,"{'lng': -80.94127056806778, 'lat': 35.32502341708537}",35.32502341708537,-80.94127056806778
1775,567479,2005-037,Royal Court LLC,B-1,MUDD,NC,no,,,0.157,0.46299999999999997,CMUD,CMUD,YES,102,15,,Central,Neely_Cheryl,,Waldron_Charlotte,YES, ,2005/12/14 00:00:00+00,2005/04/18 00:00:00+00,App, ,,,,,,,,,,,,,,,,,,6841.3426513671875,374.2344611620933,"{'lng': -80.84532786136133, 'lat': 35.21617516755832}",35.21617516755832,-80.84532786136133
1776,567480,2011-017,Goode Development Corp. & Goode Properties,R-22MF,NS,CD,no,,NO,7.3,7.3,CMUD,CMUD,YES,123,64,Corridor,Southeast-Transit,Osborne_Alysia,Dhindaw_Jaya,Sanders_Sonja,,Yes,2010/12/28 00:00:00+00,2011/06/27 00:00:00+00,App,http://charlottenc.gov/planning/Rezoning/RezoningPetitions/2011_Petitions/Pages/2011-017.aspx,,Res_Off_Retail,,,,,,,,,,,,,,,,325138.6604614258,2959.760211602124,"{'lng': -80.75935076404693, 'lat': 35.18301112412299}",35.18301112412299,-80.75935076404693
1777,567481,2001-103,,"O-2(CD), B-1(CD)",O-3(CD),,no,,,,,,,,,,,,,,,,,,2001/10/17 00:00:00+00,App,,,,,,,,,,,,,,,,,,,389058.8721923828,2674.968009300745,"{'lng': -80.75598662449063, 'lat': 35.30588659997746}",35.30588659997746,-80.75598662449063
1778,567482,2003-072,,R-12MF,R-5,,no,,,,,,,,,,,,,,,,,,2003/09/15 00:00:00+00,App,,,,,,,,,,,,,,,,,,,10534.767456054688,461.9536332702375,"{'lng': -80.86239823188129, 'lat': 35.25535114725535}",35.25535114725535,-80.86239823188129
1779,567483,2006-085,"Robert T. Godley Family, LLC",I-2,I-2(CD),CD,no,,,,6.26,CMUD,CMUD,YES,150,361,,Southwest,Lyte-Graham_Claire,Vincent_Kourtnie,Manes_Tim,YES,,,2006/09/18 00:00:00+00,App, ,,,,,,,,,,,,,,,,,,42069.0302734375,1659.8254143996774,"{'lng': -80.96342261944801, 'lat': 35.13147679412056}",35.13147679412056,-80.96342261944801
1780,567484,2002-108,,B-1,MUDD-O,,no,,,,,,,,,,,,,,,,,,2002/11/18 00:00:00+00,App,http://ww.charmeck.org/Planning/Rezoning/2002/2002-108%20approved%20site%20plan.pdf,,,,,,,,,,,,,,,,,,23087.02069091797,657.875894348792,"{'lng': -80.82171671148987, 'lat': 35.21585732024726}",35.21585732024726,-80.82171671148987
1781,567485,2016-093,BWN Investments LLC,B-1,B-2(CD),CD,no,none,NO,1.53,1.53,CMUD,CMUD,YES,89,,Wedge,East,Amanda Vari,Monica Holmes,Sanders_Sonja,,,2016/03/28 00:00:00+00,,Wd,http://charlottenc.gov/planning/Rezoning/RezoningPetitions/2016Petitions/Pages/2016-093.aspx,,,,,,,,,,,,,,,,,,88937.26794433594,1231.3760196825806,"{'lng': -80.79483473491031, 'lat': 35.24199808230399}",35.24199808230399,-80.79483473491031
1782,567486,1985-035(C),,,B-1SCD,, ,,,,,,,,,,,,,,,,,,1985/11/04 00:00:00+00,,,,,,,,,,,,,,,,,,,,411192.2570800781,2591.177225951776,"{'lng': -80.8213795259043, 'lat': 35.29764622917425}",35.29764622917425,-80.8213795259043
1783,567487,2019-018,Canopy CLT,I-2,TOD-CC,NC,no,none,NO,3.1,3.1,CMUD,CMUD,YES,89,,Corridor,East,Amanda Avari,Grant Meacci,Sonja Sanders,,,2019/01/22 08:42:48+00,2019/07/15 00:00:00+00,App,http://charlottenc.gov/planning/Rezoning/RezoningPetitions/2019Petitions/Pages/2019-018.aspx,,,,,,,,,,,,,,,,,,150245.27099609375,1666.8013875714294,"{'lng': -80.79553045159865, 'lat': 35.25192876355924}",35.25192876355924,-80.79553045159865
1784,567488,2010-056,Childress Klein Properties,O-1,MUDD-O,CD,no,,NO,13.14,13.14,CMUD,CMUD,YES,135,108,Mixed Use Activity Center,South,Main_Kent,Dhindaw_Jaya,Sanders_Sonja,YES,Yes,2010/06/28 00:00:00+00,2010/11/15 00:00:00+00,App,http://charlottenc.gov/planning/Rezoning/RezoningPetitions/2010_Petitions/Pages/2010-056.aspx,,Res_Off_Retail,,,,,,,,,,,,,,,,683130.8098754883,3209.204528228206,"{'lng': -80.83947946059554, 'lat': 35.154737061705355}",35.154737061705355,-80.83947946059554
1785,567489,2003-048,,CC,CC,,SPA,,,,,,,,,,,,,,,,,,2003/09/15 00:00:00+00,App,,,,,,,,,,,,,,,,,,,1641290.275390625,5477.815775787018,"{'lng': -80.83960454627952, 'lat': 35.06626892598664}",35.06626892598664,-80.83960454627952
1786,567490,2018-044,"Land Investment Resources, LLC",R-3,UR-2(CD),CD,no,none,NO,7.5,7.5,CMUD,CMUD,YES,"181,182",,Wedge,South,Main_Kent,Grant Meacci,John Kinley,,,2018/03/21 00:00:00+00,2018/09/24 00:00:00+00,App,http://charlottenc.gov/planning/Rezoning/RezoningPetitions/2018Petitions/Pages/2018-044.aspx,,,,,,,,,,,,,,,,,,338637.1403198242,3659.1510442638146,"{'lng': -80.81641710471916, 'lat': 35.05110785391467}",35.05110785391467,-80.81641710471916
1787,567491,2011-070,Hunter's Affordable Bonding,R-22MF,O-1,NC,no,None,,0.1,0.1,CMUD,CMUD,YES,102,95,Corridor,Central,Howard_John,Dhindaw_Jaya,Fortune_Solomon,,,2011/07/25 00:00:00+00,2011/11/28 00:00:00+00,App,http://charlottenc.gov/planning/Rezoning/RezoningPetitions/2011_Petitions/Pages/2011-070.aspx ,,,,,,,,,,,,,,,,,,12203.509887695312,488.9188661240735,"{'lng': -80.83176131983252, 'lat': 35.213407452948665}",35.213407452948665,-80.83176131983252
1788,567492,2004-099,The Charlotte Area Transit System,I-2,TOD-M(O),CD,no,,,1.1813,0.0,CMUD,CMUD,YES,157,445,,South-Transit,Cock_John, ,Manes_Tim,YES, ,2004/09/07 00:00:00+00,2004/12/20 00:00:00+00,App,http://ww.charmeck.org/Planning/Rezoning/2004/2004-099%20Approved%20Site%20Plan.pdf,,,,,,,,,,,,,,,,,,51458.87005615234,1142.6406493936659,"{'lng': -80.88156974283436, 'lat': 35.11967144676383}",35.11967144676383,-80.88156974283436
1789,567493,1986-051,,,R-6MF,, ,,,,,,,,,,,,,,,,,,1986/06/16 00:00:00+00,,,,,,,,,,,,,,,,,,,,37784.883239746094,799.1037620424213,"{'lng': -80.84126446713903, 'lat': 35.20586946872626}",35.20586946872626,-80.84126446713903
1790,567494,2007-106,Charlotte Mecklenburg Development Corporation,I-1,I-2(CD),CD,no,,,28.31,28.31,CMUD,CMUD,YES,87,201,Wedge,Central,Burnham_Greg,Dhindaw_Jaya,Keplinger_Tammie,NO,,2007/06/08 00:00:00+00,2007/10/17 00:00:00+00,App, ,,,,,,,,,,,,,,,,,,44714.01678466797,853.8770860325227,"{'lng': -80.86933787322651, 'lat': 35.24902469537808}",35.24902469537808,-80.86933787322651
1791,567495,2011-006,Dore Academy c/o Roberta Smith,I-1(CD),O-1,CD,no,,NO,6.08,6.08,CMUD,CMUD,YES,127,160,Mixed Use Activity Center,Southwest,Gonzalez_Alberto,Goodwin_Alan,Lyte-Graham_Claire,,,2010/11/19 00:00:00+00,2011/03/21 00:00:00+00,App,http://charlottenc.gov/planning/Rezoning/RezoningPetitions/2010_Petitions/Pages/2011-006.aspx,,Office1,,,,,,,,,,,,,,,,279356.03442382807,2149.103636764011,"{'lng': -80.90489198014272, 'lat': 35.1803973256229}",35.1803973256229,-80.90489198014272
1792,567496,2014-094,"Eastway II Holdings, LLC",BD(CD),BD(CD),CD,SPA,none,NO,3.05,3.05,CMUD,CMUD,YES,112,,Wedge,Central,Gonzalez_Alberto,Dixon_Bridget,Sanders_Sonja,,NO,2014/07/28 00:00:00+00,2014/10/20 00:00:00+00,App,http://charlottenc.gov/planning/Rezoning/RezoningPetitions/2014Petitions/Pages/2014-094.aspx,,Retail,,,,,,,,,,,,,,,,127415.1187133789,1578.0340064436828,"{'lng': -80.78437742721681, 'lat': 35.2106444963162}",35.2106444963162,-80.78437742721681
1793,567497,2007-150,Charlotte Mecklenburg Planning Commission,I-2,TOD-M,NC,no,,,1.64,1.64,CMUD,CMUD,YES,110,145,Corridor,South-Transit,Main_Kent,Urban Design Team,Manes_Tim,YES,,2007/08/30 00:00:00+00,2008/01/22 00:00:00+00,App, ,,,,,,,,,,,,,,,,,,78076.68975830077,1183.7051111113308,"{'lng': -80.86520181858496, 'lat': 35.20367044877508}",35.20367044877508,-80.86520181858496
1794,567498,2006-014,"Merrifield Partners, LLC",O-1(CD),O-1(CD),CD,SPA,,,1.2411,12.83,CMUD,CMUD,NO,132,363,,Southwest,Lyte-Graham_Claire,Vincent_Kourtnie,Keplinger_Tammie,NO,,,2006/03/20 00:00:00+00,App, ,,,,,,,,,,,,,,,,,,54062.509033203125,1113.3337021716793,"{'lng': -80.94986557951827, 'lat': 35.15443388173148}",35.15443388173148,-80.94986557951827
1795,567499,2002-056,,MUDD-O/MUDD(CD),MUDD-O(CD),,no,,,,,,,,,,,,,,,,,,2002/06/17 00:00:00+00,App,http://ww.charmeck.org/Planning/Rezoning/2002/2002-056%20approved%20site%20plan.pdf,,,,,,,,,,,,,,,,,,283796.03881835943,2656.5945799644783,"{'lng': -80.8264931764323, 'lat': 35.21506591825022}",35.21506591825022,-80.8264931764323
1796,567500,2011-053,1200 South Boulevard Partners LLC,TOD-MO,TOD-M,NC,no,,NO,2.85,2.85,CMUD,CMUD,YES,102,,Corridor,South-Transit,Main_Kent,Goodwin_Alan,Fortune_Solomon,,,2011/06/24 00:00:00+00,2011/10/17 00:00:00+00,App,http://charlottenc.gov/planning/Rezoning/RezoningPetitions/2011_Petitions/Pages/2011-053.aspx,,TOD-M,,,,,,,,,,,,,,,,134891.8687133789,2293.380574183302,"{'lng': -80.85151738543455, 'lat': 35.21769777853941}",35.21769777853941,-80.85151738543455
1797,567501,2008-105,"Phillips Development and Realty, LLC",NS,NS,CD,SPA,,,41.19,41.19,CMUD,CMUD,YES,58,264,Corridor,Northeast-Transit,Cornett_Kathy,Dhindaw_Jaya,Lyte-Graham_Claire,YES,,2008/04/24 00:00:00+00,2008/07/21 00:00:00+00,App, ,,,,,,,,,,,,,,,,,,1064458.3607788086,4273.047247590739,"{'lng': -80.757523899543, 'lat': 35.30632742280993}",35.30632742280993,-80.757523899543
1798,567502,2001-088,,R-3,R-8MF(CD),,no,,,,,,,,,,,,,,,,,,2001/07/16 00:00:00+00,App,,,,,,,,,,,,,,,,,,,91151.63720703124,1610.3872239084208,"{'lng': -80.86041290475337, 'lat': 35.30837680167747}",35.30837680167747,-80.86041290475337
1799,567503,2018-094,"Hopper Communities, Inc",R-12MF(CD),UR-2(CD),CD,no,none,NO,2.03,2.03,CMUD,CMUD,YES,181,,Wedger,South,Kent Main,Grant Meacci,John Kinley,,,2018/07/17 00:00:00+00,2018/11/19 11:13:55+00,App,http://charlottenc.gov/planning/Rezoning/RezoningPetitions/2018Petitions/Pages/2018-094.aspx,,,,,,,,,,,,,,,,,,93021.01385498047,1250.4996487100493,"{'lng': -80.81464181744666, 'lat': 35.049563782180655}",35.049563782180655,-80.81464181744666
1800,567504,2018-077,R2 Development,R-3,UR-1(CD),CD,no,none,NO,7.69,7.69,CMUD,CMUD,NO,171,,Wedge,Northwest,Alberto Gonzalez,Grant Meacci,Claire Lyte-Graham,,,2018/06/05 00:00:00+00,2018/11/19 11:02:19+00,App,http://charlottenc.gov/planning/Rezoning/RezoningPetitions/2018Petitions/Pages/2018-077.aspx,,,,,,,,,,,,,,,,,,374172.1454467773,2554.279771359977,"{'lng': -80.99352073954265, 'lat': 35.08571455033731}",35.08571455033731,-80.99352073954265
1801,567505,1996-101,,R-17MF,R-8MF,,no,,,,,,,,,,,,,,,,,,1997/02/17 00:00:00+00,App,,,,,,,,,,,,,,,,,,,283499.88861083984,2561.352465992109,"{'lng': -80.78588739416212, 'lat': 35.19576664595201}",35.19576664595201,-80.78588739416212
1802,567506,1993-099A,,R-22MF,R-8,,no,,,,,,,,,,,,,,,,,,1993/11/08 00:00:00+00,App,,,,,,,,,,,,,,,,,,,751621.8560180664,4192.823138948673,"{'lng': -80.86548324080772, 'lat': 35.232907266403984}",35.232907266403984,-80.86548324080772
1803,567507,1989-028(C),,R-9,O-15(CD),,no,,,,,,,,,,,,,,,,,,1989/11/06 00:00:00+00,App,,,,,,,,,,,,,,,,,,,171997.30090332028,1890.1961345631548,"{'lng': -80.90466579937458, 'lat': 35.18593256558975}",35.18593256558975,-80.90466579937458
1804,567508,2009-034,Charlotte-Mecklenburg Planning Commission,R-22MF,TOD-M,CD,no,None,,3.7,3.7,CMUD,CMUD,YES,99,16,Mixed Use Activity Center,South,Suttle_Bryman,Jones_Michelle,Drake_Tom,NO,,2009/02/23 00:00:00+00,2009/06/15 00:00:00+00,App,http://charlottenc.gov/planning/Rezoning/RezoningPetitions/2009Petitions/Pages/2009-034.aspx,,,,,,,,,,,,,,,,,,187443.1812133789,2443.884686322717,"{'lng': -80.8521369761188, 'lat': 35.21537380521332}",35.21537380521332,-80.8521369761188
1805,567509,2019-102,City of Charlotte,B-2,TOD-UC,NC,no,none,NO,1772.0,1772.0,CMUD,CMUD,YES,110,,Corridor,East,Scott Correll,Grant Meacci,Claire Lyte-Graham,,,2019/07/17 08:36:06+00,2019/11/18 00:00:00+00,App,https://charlottenc.gov/planning/Rezoning/RezoningPetitions/2019Petitions/Pages/2019-102.aspx,,,,,,,,,,,,,,,,,,69468.88549804688,1061.3237313070558,"{'lng': -80.86356629602156, 'lat': 35.20395103343122}",35.20395103343122,-80.86356629602156
1806,567510,2018-111,David Weekley Homes,R-22MF,UR-2(CD),CD,no,none,NO,5.79,5.79,CMUD,CMUD,YES,89,,Wedge,East,Mandy Rosen,Monica Holmes,Sonja Sanders,,,2018/08/23 00:00:00+00,2019/01/22 10:28:16+00,App,http://charlottenc.gov/planning/Rezoning/RezoningPetitions/2018Petitions/Pages/2018-111.aspx,,,,,,,,,,,,,,,,,,262362.10595703125,3141.32300795745,"{'lng': -80.80504638348883, 'lat': 35.23619524192482}",35.23619524192482,-80.80504638348883
1807,567511,1992-048,,R-3,I-1(CD),,no,,,,,,,,,,,,,,,,,,1992/10/19 00:00:00+00,App,,,,,,,,,,,,,,,,,,,228619.3682861328,2173.5724058419287,"{'lng': -80.95676551824978, 'lat': 35.24562515242598}",35.24562515242598,-80.95676551824978
1808,567512,2002-091,,"R-5, UR-3(CD)",UR-3(CD),,no,,,,,,,,,,,,,,,,,,2003/06/16 00:00:00+00,App,http://ww.charmeck.org/Planning/Rezoning/2002/2002-091%20approved%20site%20plan.pdf,,,,,,,,,,,,,,,,,,23155.08233642578,768.9203690928588,"{'lng': -80.79918511761068, 'lat': 35.24958318679573}",35.24958318679573,-80.79918511761068
1809,567513,1999-127,,R-5,NS,,no,,,,,,,,,,,,,,,,,,2000/01/18 00:00:00+00,App,,,,,,,,,,,,,,,,,,,30998.12725830078,708.924775998104,"{'lng': -80.87253045621401, 'lat': 35.26129490752003}",35.26129490752003,-80.87253045621401
1810,567514,2014-020,Charlotte-Mecklenburg Planning Department,R-17MF,R-8MF,NC,no,none,NO,1.35,1.35,CMUD,CMUD,YES,78,,Wedge,Northeast,Osborne_Alysia,Goodwin_Alan,Fortune_Solomon,,NO,2013/11/25 00:00:00+00,2014/03/17 00:00:00+00,App,http://charlottenc.gov/planning/Rezoning/RezoningPetitions/2014Petitions/Pages/2014-020.aspx,YES,Resid8,,,,,,,,,,,,,,,,60845.41735839844,1241.2495908645512,"{'lng': -80.78739331451601, 'lat': 35.26183415771377}",35.26183415771377,-80.78739331451601
1811,567515,2007-079,Charter Properties Cambridge Properties,R-3,NS,CD,no,,,74.4,74.4,CMUD,CMUD,YES,54,268,Corridor,Northeast-Transit,Cornett_Kathy,Howard_John,Lyte-Graham_Claire,YES,,2007/03/26 00:00:00+00,2007/11/19 00:00:00+00,App,http://ww.charmeck.org/Planning/Rezoning/2007/071_082/2007-079%20approved%20site%20plan.pdf,,,,,,,,,,,,,,,,,,2450725.5479125977,6837.21935349935,"{'lng': -80.70971044048906, 'lat': 35.33378510444466}",35.33378510444466,-80.70971044048906
1812,567516,2018-161,James M Howel ,R-8(CD),R-8(CD),CD,SPA,none,NO,12.0,12.0,CMUD,CMUD,YES,157,,Corridor,South,Kent Main,Grant Meacci,John Kinley,,,2018/12/14 16:00:24+00,,Wd,http://charlottenc.gov/planning/Rezoning/RezoningPetitions/2018Petitions/Pages/2018-161.aspx,,,,,,,,,,,,,,,,,,492094.6242675781,5139.616797125733,"{'lng': -80.887673940859, 'lat': 35.107957232890165}",35.107957232890165,-80.887673940859
1813,567517,2001-003(C),,R-3,MX-2,,no,,,,,,,,,,,,,,,,,,2001/06/12 00:00:00+00,App,,,,,,,,,,,,,,,,,,,1881598.6010742188,6154.6858344950915,"{'lng': -80.96599632696757, 'lat': 35.335713861016366}",35.335713861016366,-80.96599632696757
1814,567518,2015-125,"White Point Pcess Properties, LLC",I-2,TOD-M,NC,no,none,NO,2.1,2.1,CMUD,CMUD,YES,102,,Corridor,East,Mandy Vari,Monica Holmes,Sanders_Sonja,,NO,2015/09/23 00:00:00+00,2016/01/19 00:00:00+00,App,http://charlottenc.gov/planning/Rezoning/RezoningPetitions/2015Petitions/Pages/2015-125.aspx,,TOD-M,,,,,,,,,,,,,,,,218922.1600341797,2998.7914669543907,"{'lng': -80.82754084564807, 'lat': 35.231704719910006}",35.231704719910006,-80.82754084564807
1815,567519,1995-056,,"O-15(CD), R-3, O-1, B-1SCD, R-4",O-1(CD),,no,,,,,,,,,,,,,,,,,,1995/09/18 00:00:00+00,App,,,,,,,,,,,,,,,,,,,47647.015563964844,1139.7484144345296,"{'lng': -80.74619318674013, 'lat': 35.20601603797563}",35.20601603797563,-80.74619318674013
1816,567520,2018-116,"JDSI, LLC",R-3,R-4,NC,no,none,NO,1.34,1.34,CMUD,CMUD,YES,59,,Wedge,Northwest,Gonzalez_Alberto,Grant Meacci,Lyte-Graham_Claire,,,2018/08/13 00:00:00+00,2019/01/22 10:31:14+00,App,http://charlottenc.gov/planning/Rezoning/RezoningPetitions/2018Petitions/Pages/2018-116.aspx,,,,,,,,,,,,,,,,,,83469.56744384767,1336.5765146900505,"{'lng': -80.79131502432169, 'lat': 35.31241004690208}",35.31241004690208,-80.79131502432169
1817,567521,1995-024(C),,R-3,R-4,,no,,,,,,,,,,,,,,,,,,1995/06/20 00:00:00+00,App,,,,,,,,,,,,,,,,,,,2832680.8870239262,7432.561102124409,"{'lng': -80.8615949091044, 'lat': 35.35877581794536}",35.35877581794536,-80.8615949091044
1818,567522,1997-004,,R-3,R-17MF(CD),,no,,,,,,,,,,,,,,,,,,1998/01/20 00:00:00+00,App,,,,,,,,,,,,,,,,,,,97367.3916015625,1556.0194655937162,"{'lng': -80.83179259683526, 'lat': 35.145308081941465}",35.145308081941465,-80.83179259683526
1819,567523,2019-044,Panthers Stadium,MUDD,MUDD-O,CD,no,none,NO,8.6,8.6,CMUD,CMUD,YES,102,,Center City Activity Center,Central,Catherine Mahoney,Grant Meacci,Solomon Fortune,,,2019/03/07 09:20:24+00,2019/07/15 00:00:00+00,App,http://charlottenc.gov/planning/Rezoning/RezoningPetitions/2019Petitions/Pages/2019-044.aspx,,,,,,,,,,,,,,,,,,52730.00866699219,938.4250708677088,"{'lng': -80.85331392470322, 'lat': 35.228278689831214}",35.228278689831214,-80.85331392470322
1820,567524,1986-020(C),,,I-2(CD),, ,,,,,,,,,,,,,,,,,,1986/10/20 00:00:00+00,,,,,,,,,,,,,,,,,,,,157944.75219726562,1632.3906223656054,"{'lng': -80.80858911150922, 'lat': 35.301632518781695}",35.301632518781695,-80.80858911150922
1821,567525,1988-027(C),,R-15,O-15(CD),,no,,,,,,,,,,,,,,,,,,1988/06/20 00:00:00+00,App,,,,2005028,4/5/2005,Bristol Development Corp.,minor change to note regarding signage on office portion of site,,,,,,,,,,,,1021468.5033569336,5154.030931415978,"{'lng': -80.73405279839788, 'lat': 35.085651869454935}",35.085651869454935,-80.73405279839788
1822,567526,2004-012,Thomas M. Vance,R-5,MUDD-O,CD,no,,,0.7240000000000001,0.51, , ,YES,101,033,,Southeast-Transit,Farrington_Berry,Howard_John,Waldron_Charlotte,YES, ,2003/10/27 00:00:00+00,2004/02/16 00:00:00+00,App,http://ww.charmeck.org/Planning/Rezoning/2004/2004-012%20approved%20site%20plan.pdf,,,,,,,,,,,,,,,,,,31540.699584960938,710.8880075443237,"{'lng': -80.80942091357959, 'lat': 35.21775710322877}",35.21775710322877,-80.80942091357959
1823,567527,1997-047(C),,R-3,R-8MF(CD),,no,,,,,,,,,,,,,,,,,,1997/12/09 00:00:00+00,App,,,,,,,,,,,,,,,,,,,730244.3653564453,3377.055424665586,"{'lng': -80.73401026516518, 'lat': 35.07876477560554}",35.07876477560554,-80.73401026516518
1824,567528,2006-011,Homeowners of Hermitage Court,na,Historic District,NC,no,HD,,15.0094,15.0,CMUD,CMUD,YES,111,96,,Central,Neely_Cheryl,Howard_John,John Rogers,YES,,2005/10/25 00:00:00+00,2006/04/17 00:00:00+00,App, ,,,,,,,,,,,,,,,,,,653810.874206543,3594.9692516963105,"{'lng': -80.82669765096156, 'lat': 35.20483137764238}",35.20483137764238,-80.82669765096156
1825,567529,1987-015,,,R-12MF,, ,,,,,,,,,,,,,,,,,,1987/04/22 00:00:00+00,,,,,,,,,,,,,,,,,,,,316942.01165771484,2553.3436177260473,"{'lng': -80.85565629809456, 'lat': 35.26673368847308}",35.26673368847308,-80.85565629809456
1826,567530,2007-064,"Mountain Island (E and A), LLC",CC,CC,CD,SPA,CR/LW-PA,,27.8,27.8,CMUD,CMUD,YES,"48,48,63",402,Center,Northwest,Mccullough_Melony,Howard_John,Keplinger_Tammie,YES,,2007/02/26 00:00:00+00,2007/07/16 00:00:00+00,App, ,,,,,,,,,,,,,,,,,,1475388.6745605469,7485.641955108333,"{'lng': -80.94380906796815, 'lat': 35.32213864754196}",35.32213864754196,-80.94380906796815
1827,567531,1996-015(C),,R-12MF(CD),CC,,no,,,,,,,,,,,,,,,,,,1996/07/02 00:00:00+00,App,,,,Administrative Approvals,,,,,,,,,,,,,,,212630.05505371094,3314.0110637609228,"{'lng': -80.9473326049826, 'lat': 35.322317068417426}",35.322317068417426,-80.9473326049826
1828,567532,2002-127,,"R-3, R-12MF(CD), R-43MF, CC",CC,,no,,,,,,,,,,,,,,,,,,2002/12/16 00:00:00+00,App,http://ww.charmeck.org/Planning/Rezoning/2002/2002-127%20approved%20site%20plan.pdf,,,2006036,10/11/2006,"Pinnacle Properties, LLC",bulding E and F layout and elevations,,,,,,,,,,,,407101.4214477539,4430.802479541592,"{'lng': -80.7427820037948, 'lat': 35.32964943363262}",35.32964943363262,-80.7427820037948
1829,567533,2018-169,Charlotte Planning Design & Development Department,TOD-M,TOD-CC,NC,no,,,1.13,1.13,CMUD,CMUD,YES,102,17,Corridor,South-Transit,Main_Kent,Urban Design Team,Fortune_Solomon,YES,,2018/12/14 00:00:00+00,2019/04/15 00:00:00+00,App, ,,,,,,,,,,,,,,,,,,8734.168884277344,455.80270173339034,"{'lng': -80.8560108886473, 'lat': 35.2200513977606}",35.2200513977606,-80.8560108886473
1830,567534,2006-039,Harvey Gouch,R-4,MX-2,CD,no,LLW-PA,YES,,59.22,CMUD,CMUD,YES,81,187,,Northwest,Moore_Eddie,Howard_John,Keplinger_Tammie,YES,,2005/12/22 00:00:00+00,2006/05/15 00:00:00+00,App, ,,,,,,,,,,,,,,,,,,878380.9232177734,5200.782370280347,"{'lng': -80.9199042538271, 'lat': 35.25619218115812}",35.25619218115812,-80.9199042538271
