OBJECTID,Petition,Petitioner,FromZone,ToZone,Type,SPA,Overlay,INNOV,Acres,PetAcres,Water,Sewer,CityLimit,ZoningMap,ODZ,CCW,ServiceArea,LuseStaff,UrbanDesign,RezoneStaff,Consistent,ProtestPet,Received,Approved,Decision,Hyperlink,Corrective,Propluse,AdminAppr,AdminApprD,AdminApprP,AdminApprC,SFLOTS,THUNITS,CONDOS,APT,TOTUNITS,OFFICE,RETAIL,HOTELRMS,PARKING,OPENSP,ACRESITE,SHAPESTArea,SHAPESTLength,centroid
566920,1993-068B,,I-2,I-1,,no,,,,,,,,,,,,,,,,,,1993/10/11 00:00:00+00,App,,,,,,,,,,,,,,,,,,,77409.11297607422,1442.5702457845177,"{'lng': -80.87243808751259, 'lat': 35.19542527335277}"
566921,2016-129,Greenway Residential Development,R-3,UR-2(CD),CD,no,none,NO,12.33,12.33,CMUD,CMUD,YES,52,,Wedge,Northwest,Gonzalez_Alberto,Grant Meacci,Lyte-Graham_Claire,,,2016/07/25 00:00:00+00,2016/11/21 00:00:00+00,App,http://charlottenc.gov/planning/Rezoning/RezoningPetitions/2016Petitions/Pages/2016-129.aspx,,,,,,,,,,,,,,,,,,38886.256286621094,883.9701362963965,"{'lng': -80.79686640055452, 'lat': 35.337262272817824}"
566922,2001-103,,O-2(CD),O-2(CD),,SPA,,,,,,,,,,,,,,,,,,2001/10/17 00:00:00+00,App,,,,,,,,,,,,,,,,,,,1412125.663696289,4930.058166901798,"{'lng': -80.75693879867462, 'lat': 35.30631963288639}"
566923,2005-038,World Worship Center,BD(CD),O-1,NC,no,,,5.6454,6.0,CMUD,CMUD,YES,127,161,,Southwest,Lyte-Graham_Claire,,Manes_Tim,YES, ,2004/12/17 00:00:00+00,2005/02/21 00:00:00+00,App, ,,,,,,,,,,,,,,,,,,245914.69537353516,2081.993905107745,"{'lng': -80.92749015133447, 'lat': 35.1776329571799}"
566924,1998-059(C),,R-4(CD),O-1(CD),,no,,,,,,,,,,,,,,,,,,1998/12/08 00:00:00+00,App,,,,,,,,,,,,,,,,,,,234798.05029296875,2363.4922194007218,"{'lng': -80.98620759954281, 'lat': 35.10741435114374}"
566925,2016-133,"K&H Development, Inc.",O-1(CD),BD(CD),CD,no,none,NO,3.28,3.28,CMUD,CMUD,YES,171,,Wedge,Northwest,Gonzalez_Alberto,Grant Meacci,Lyte-Graham_Claire,,,2016/08/18 00:00:00+00,2016/12/19 00:00:00+00,App,http://charlottenc.gov/planning/Rezoning/RezoningPetitions/2016Petitions/Pages/2016-133.aspx,,,,,,,,,,,,,,,,,,166167.3422241211,1701.3599930287526,"{'lng': -80.99572900960786, 'lat': 35.09861965135621}"
566926,1986-105,,I-2,O-6(CD),,no,,,,,,,,,,,,,,,,,,1989/11/20 00:00:00+00,App,,,,,,,,,,,,,,,,,,,17447.265380859375,603.4863214080868,"{'lng': -80.85449974037012, 'lat': 35.24993858585856}"
566927,2000-010,,R-3,R-4(CD),,no,,,,,,,,,,,,,,,,,,2000/02/21 00:00:00+00,App,,,,,,,,,,,,,,,,,,,88932.43646240234,1341.2167752686028,"{'lng': -80.78239153508865, 'lat': 35.17717230138257}"
566928,2006-060,Withrow Capital Investments/Cambridge Properties,B-1(CD),BD(CD),CD,no,LLW-PA,,,120.0,CMUD,CMUD,YES,"48,49",402,,Northwest,Moore_Eddie,Howard_John,Keplinger_Tammie,YES,Yes,2006/02/17 00:00:00+00,2006/09/18 00:00:00+00,App, ,,,,,,,,,,,,,,,,,,189948.53845214844,1968.641616372674,"{'lng': -80.94147264092386, 'lat': 35.32478770683704}"
566929,2007-099,Boulevard Centro,B-1,UR-2(CD),CD,no,HD,,1.1,1.1,CMUD,CMUD,YES,111,145,Corridor,South-Transit,Main_Kent,Howard_John,Manes_Tim,NO,,2007/04/23 00:00:00+00,2007/12/17 00:00:00+00,App, ,,,,,,,,,,,,,,,,,,17761.431518554688,559.2710703027263,"{'lng': -80.8578624491133, 'lat': 35.20875964810371}"
566930,2014-033,"Colony at Piper Glen, LLC",NS,NS,CD,SPA,none,NO,1.72,1.72,CMUD,CMUD,YES,177,,Mixed Use Activity Center,South,Main_Kent,Dixon_Bridget,Fortune_Solomon,,,2014/02/24 00:00:00+00,2014/06/16 00:00:00+00,App,http://charlottenc.gov/planning/Rezoning/RezoningPetitions/2014Petitions/Pages/2014-033.aspx,,Mix19,,,,,,,,,,,,,,,,112352.41418457031,1441.1443365469631,"{'lng': -80.8124943718832, 'lat': 35.06032408834073}"
566931,1995-071,,R-4,BD(CD),Conditional,no,,,,,,,,,,,,,,,,,,1995/10/16 00:00:00+00,App,,,,Establishes development rights for parcel still zoned Commercial Center,,,,,,,,,,,,,,,551528.5874633789,3200.3156647449496,"{'lng': -80.92432146455064, 'lat': 35.21291219620992}"
566932,1988-004(C),,"R-12(CD), R-9MF(CD)",R-12,,no,,,,,,,,,,,,,,,,,,1988/02/15 00:00:00+00,App,,,,,,,,,,,,,,,,,,,4656241.242431641,10516.37028691542,"{'lng': -80.78710366720262, 'lat': 35.32196234288783}"
566933,2006-119,Don and Caroline Naysmith,R-3,B-2(CD),CD,no,,,4.0032,4.0032,PRV,PRV,YES,100,54,,East,Mccullough_Melony,Vincent_Kourtnie,Drake_Tom,NO,,2007/04/16 00:00:00+00,2007/07/16 00:00:00+00,App, ,,,,,,,,,,,,,,,,,,211942.25994873047,1932.0398794137077,"{'lng': -80.74662237829867, 'lat': 35.22686250557962}"
566934,1990-001(C),,R-20MF,R-9(CD),,no,,,,,,,,,,,,,,,,,,1990/02/19 00:00:00+00,App,,,,,,,,,,,,,,,,,,,1228885.704711914,5240.229522503493,"{'lng': -80.80927227868506, 'lat': 35.02527080315438}"
566935,2002-077,,I-2,MUDD,,no,,,,,,,,,,,,,,,,,,2002/09/17 00:00:00+00,App,,,,,,,,,,,,,,,,,,,40769.70489501953,868.0285821582657,"{'lng': -80.8627366368388, 'lat': 35.213361035048}"
566936,2012-053,Joy K. Greear,MUDD-O,MUDD-O,CD,SPA,None,NO,0.91,0.91,CMUD,CMUD,YES,,,Corridor,Central,Goodwin_Alan,Goodwin_Alan,Fortune_Solomon,,,2012/03/22 00:00:00+00,2012/07/16 00:00:00+00,App,http://charlottenc.gov/planning/Rezoning/RezoningPetitions/2012_Petitions/Pages/2012-053.aspx,NO,Mix33,,,,,,,,,,,,,,,,57721.06530761719,1025.6431864862448,"{'lng': -80.82521435250626, 'lat': 35.21089807685022}"
566937,2008-128,"Sherpa Land Company, LLC",right-of-way abandonment,BD(CD),CD,no,,,4.4,4.4,CMUD,CMUD,,44,246,Corridor,Northeast,Osborne_Alysia,Jones_Michelle,Sanders_Sonja,YES,,2008/06/20 00:00:00+00,2009/01/26 00:00:00+00,App,http://charlottenc.gov/planning/Rezoning/RezoningPetitions/2008Petitions/Pages/2008-128.aspx,,,,,,,,,,,,,,,,,,69876.15698242188,2211.874509002644,"{'lng': -80.83996969345237, 'lat': 35.36098825351527}"
566938,1986-029,,,R-9,, ,,,,,,,,,,,,,,,,,,1986/05/19 00:00:00+00,,,,,,,,,,,,,,,,,,,,118428.37286376953,1484.6751315573792,"{'lng': -80.79528583182599, 'lat': 35.26722888580318}"
566939,2018-071,Dependable Development Inc.,R-5(CD),R-5(CD),CD,SPA,none,NO,9.54,9.54,CMUD,CMUD,NO,73,,Wedge,East,Mandy Rosen,Monica Holmes,Sonja Sanders,,,2018/05/24 00:00:00+00,2018/10/15 00:00:00+00,App,http://charlottenc.gov/planning/Rezoning/RezoningPetitions/2018Petitions/Pages/2018-071.aspx,,,,,,,,,,,,,,,,,,442427.79748535156,3674.951572214447,"{'lng': -80.67898218771924, 'lat': 35.297540259683416}"
566940,2016-062,Benson Ejindu,R-3,O-1(CD),CD,no,none,NO,1.23,1.23,CMUD,CMUD,YES,76,,Wedge,East,Amanda Vari,Monica Holmes,Sanders_Sonja,,,2016/02/13 00:00:00+00,2016/06/20 00:00:00+00,App,http://charlottenc.gov/planning/Rezoning/RezoningPetitions/2016Petitions/Pages/2016-062.aspx,,Office1,,,,,,,,,,,,,,,,60872.57849121094,1021.6163074075054,"{'lng': -80.73413965134525, 'lat': 35.25884124331349}"
566941,2013-045,"CSL Suttle Avenue, LLC",I-2,MUDD,NC,no,none,NO,18.98,21.56,,,,,,Corridor,Central,Main_Kent,Dixon_Bridget,,,,,2013/06/17 00:00:00+00,App,http://charlottenc.gov/planning/Rezoning/RezoningPetitions/2013Petitions/Pages/2013-045.aspx,NO,Res_Off_Retail,,,,,,,,,,,,,,,,861546.8852539062,3871.9352411848663,"{'lng': -80.86990015773468, 'lat': 35.22403728916895}"
566942,1988-066(C),,I-1,I-2(CD),,no,,,,,,,,,,,,,,,,,,1989/01/17 00:00:00+00,App,,,,4/23/1992 - to allow expansion of new building addition to total 6850 sq ft,4/6/1990; 4/23/1992,,,,,,,,,,,,,,91438.5122680664,1310.3558167742885,"{'lng': -80.9901827251023, 'lat': 35.24460518634305}"
566943,2007-134,Charlotte Housing Authority,NS,O-2(CD),CD,no,,,7.75,7.75,CMUD,CMUD,YES,"103,110",170,Wedge,Central,Howard_John,Dhindaw_Jaya,Keplinger_Tammie,YES,,2007/07/20 00:00:00+00,2007/12/17 00:00:00+00,App, ,,,,,,,,,,,,,,,,,,408468.5206298828,2693.6909931160503,"{'lng': -80.89457050487513, 'lat': 35.21112503934384}"
566944,1996-017,,B-1(CD),R-22MF,,no,,,,,,,,,,,,,,,,,,1996/05/20 00:00:00+00,App,,,,,,,,,,,,,,,,,,,160091.73663330078,1613.03490257938,"{'lng': -80.78399861691396, 'lat': 35.32875886116453}"
566945,2008-119,"Asset Management I, LLC",I-2,TOD-M(O),CD,no,,,1.63,1.63,CMUD,CMUD,YES,102,17,Corridor,South-Transit,Main_Kent,Goodwin_Alan,Manes_Tim,YES,,2008/06/03 00:00:00+00,2008/10/20 00:00:00+00,App, ,,,,,,,,,,,,,,,,,,89395.06915283203,1389.9755948813622,"{'lng': -80.85737121274641, 'lat': 35.220231158220145}"
566946,2013-036,"C4 Development, LLC",B-1(CD),B-1(CD),CD,SPA,Lower Lake Wylie - Protected Area,NO,1.31,1.31,,,,,,,,,,,,,2013/01/28 00:00:00+00,,Wd,http://charlottenc.gov/planning/Rezoning/RezoningPetitions/2013Petitions/Pages/2013-036.aspx,,,,,,,,,,,,,,,,,,62017.79968261719,1081.3637379959632,"{'lng': -80.93506870385417, 'lat': 35.30154762756841}"
566947,1985-053,,,O-6(CD),, ,,,,,,,,,,,,,,,,,,1985/09/16 00:00:00+00,,,,,,,,,,,,,,,,,,,,144347.61846923828,1686.6488677829232,"{'lng': -80.77751603264008, 'lat': 35.19242752420073}"
566948,2018-169,Charlotte Planning Design & Development Department,TOD-M,TOD-CC,NC,no,,,1.272,9.897,CMUD,CMUD,YES,110,157,,South-Transit,Cock_John, ,Manes_Tim,YES, ,2018/12/14 00:00:00+00,2019/04/15 00:00:00+00,App, ,,,,,,,,,,,,,,,,,,55410.466064453125,1545.2806220390785,"{'lng': -80.87699028191349, 'lat': 35.192203102148405}"
566949,2016-124,Chris Ogunrinde,MUDD-O(CD),MUDD-O(CD),CD,SPA,none,NO,1.494,1.494,CMUD,CMUD,YES,103,,Corridor,Northwest,Gonzalez_Alberto,Grant Meacci,John Kinley,,,2016/07/22 00:00:00+00,2017/03/20 00:00:00+00,App,http://charlottenc.gov/planning/Rezoning/RezoningPetitions/2016Petitions/Pages/2016-124.aspx,,Mix19,,,,,,,,,,,,,,,,116251.09448242188,1354.8318061707355,"{'lng': -80.87008421940754, 'lat': 35.23158234981295}"
566950,1986-090,,,R-9MF,, ,,,,,,,,,,,,,,,,,,1986/09/15 00:00:00+00,,,,,,,,,,,,,,,,,,,,342189.25048828125,2490.6208677597124,"{'lng': -80.86912762832874, 'lat': 35.264239226888236}"
566951,2014-001,Weekley Homes LP,R-5,UR-2(CD),CD,no,none,NO,1.02,1.02,CMUD,CMUD,YES,110,,Wedge,Central,Cornett_Kathy,Goodwin_Alan,Lyte-Graham_Claire,,NO,2013/10/28 00:00:00+00,2014/04/14 00:00:00+00,App,http://charlottenc.gov/planning/Rezoning/RezoningPetitions/2014Petitions/Pages/2014-001.aspx,NO,Resid22,,,,,,,,,,,,,,,,11869.407531738281,520.6373187280291,"{'lng': -80.86380733753478, 'lat': 35.202477002637}"
566952,2019-102,City of Charlotte,I-2,TOD-UC,NC,no,none,NO,1772.0,1772.0,CMUD,CMUD,YES,102,,Corridor,East,Scott Correll,Grant Meacci,Claire Lyte-Graham,,,2019/07/17 08:36:06+00,2019/11/18 00:00:00+00,App,https://charlottenc.gov/planning/Rezoning/RezoningPetitions/2019Petitions/Pages/2019-102.aspx,,,,,,,,,,,,,,,,,,21392.361877441406,595.0915543937762,"{'lng': -80.85675911341627, 'lat': 35.222737941769104}"
566953,2015-057,"PRSC Holdings (Edens), LLC",B-1,NS,CD,no,none,NO,1.14,1.14,CMUD,CMUD,YES,125,,Mixed Use Activity Center,Central,Gonzalez_Alberto,Dixon_Bridget,Fortune_Solomon,,NO,2015/03/20 00:00:00+00,2015/07/20 00:00:00+00,App,http://charlottenc.gov/planning/Rezoning/RezoningPetitions/2015Petitions/Pages/2015-057.aspx,NO,Mix19,,,,,,,,,,,14000.0,,,,,64868.30810546875,1018.8478417114014,"{'lng': -80.84927108805778, 'lat': 35.17251066453481}"
566954,2003-076,,CC,CC,,SPA,,,,,,,,,,,,,,,,,,2003/11/24 00:00:00+00,App,,,,,,,,,,,,,,,,,,,15121275.704650879,25886.892280403277,"{'lng': -80.73031570147118, 'lat': 35.36001090785415}"
566955,2006-005,"AAC Acquisitions, LLC",R-3,O-2(CD),CD,no,,,4.6762,18.7,CMUD,CMUD,YES,132,363,,Southwest,Lyte-Graham_Claire,Vincent_Kourtnie,Keplinger_Tammie,YES,,2005/10/12 00:00:00+00,2006/07/17 00:00:00+00,App, ,,,,,,,,,,,,,,,,,,203697.95404052734,1856.2384337601734,"{'lng': -80.95271730521851, 'lat': 35.15071082322611}"
566956,2019-102,City of Charlotte,B-1,TOD-NC,NC,no,HD,NO,1772.0,1772.0,CMUD,CMUD,YES,111,,Corridor,East,Scott Correll,Grant Meacci,Claire Lyte-Graham,,,2019/07/17 08:36:06+00,2019/11/18 00:00:00+00,App,https://charlottenc.gov/planning/Rezoning/RezoningPetitions/2019Petitions/Pages/2019-102.aspx,,,,,,,,,,,,,,,,,,12304.048400878906,564.9332948136107,"{'lng': -80.8577059611343, 'lat': 35.2091909030907}"
566957,2005-142,"Fairfield Residential, LLC c/o Paul Johnston",R-17MF(CD),R-17MF(CD),CD,SPA,,,24.2264,22.33,CMUD,CMUD,YES,72,266,,Northeast,Cornett_Kathy,Dixon_Bridget,Drake_Tom,WD,,2005/07/24 00:00:00+00,,Wd, ,,,,,,,,,,,,,,,,,,1055301.4311523438,5164.177669461095,"{'lng': -80.73271648659133, 'lat': 35.292852759487495}"
566958,2004-023,Chandrakant S. Patel,B-1,B-2(CD),CD,no,,,0.7154,0.59, , ,YES,100,049,,East,Mccullough_Melony,Howard_John,Waldron_Charlotte,YES, ,2003/11/21 00:00:00+00,2004/04/19 00:00:00+00,App,http://ww.charmeck.org/Planning/Rezoning/2004/2004-023%20approved%20site%20plan.pdf,,,,,,,,,,,,,,,,,,31163.981323242188,755.7744410567451,"{'lng': -80.78041374529104, 'lat': 35.216690655482864}"
566959,2003-015,,O-15(CD ),B-1(CD),,no,,,,,,,,,,,,,,,,,,2003/04/21 00:00:00+00,App,,,,,,,,,,,,,,,,,,,161265.95294189453,1644.4648096744415,"{'lng': -80.75450344880684, 'lat': 35.301262006048134}"
566960,1994-012(C),,R-12MF(CD),R-12MF(CD),,SPA,,,,,,,,,,,,,,,,,,1994/04/18 00:00:00+00,App,,,,,,,,,,,,,,,,,,,1192807.1510620117,5623.866283247027,"{'lng': -80.88765648536703, 'lat': 35.3451887761654}"
566961,1987-041,,,I-2(CD),, ,,,,,,,,,,,,,,,,,,1987/05/18 00:00:00+00,,,,,,,,,,,,,,,,,,,,913285.4025878906,3873.053282006005,"{'lng': -80.90881000443821, 'lat': 35.18710099987615}"
566962,2000-075,,"R-12MF(CD), O-15(CD)",B-1,,no,,,,,,,,,,,,,,,,,,2000/06/19 00:00:00+00,App,,,,,,,,,,,,,,,,,,,449107.1675415039,2636.4844265965085,"{'lng': -80.9463774842339, 'lat': 35.32517199664126}"
566963,2007-034,Simonini Builders,R-3,R-5(CD),CD,no,,,0.81,0.81,CMUD,CMUD,YES,147,136,Wedge,South,Main_Kent,Vincent_Kourtnie,Drake_Tom,YES,,2006/12/22 00:00:00+00,2007/05/21 00:00:00+00,App, ,,,,,,,,,,,,,,,,,,53437.73779296875,947.9932330775478,"{'lng': -80.84895076427877, 'lat': 35.14013547653359}"
566964,1990-007,,O-6,R-9MF,,no,,,,,,,,,,,,,,,,,,1990/02/19 00:00:00+00,App,,,,,,,,,,,,,,,,,,,146263.96502685547,1659.0983082988103,"{'lng': -80.85444922077592, 'lat': 35.2759817155782}"
566965,2017-180,"JS Helms Family Properties, LLC ",R-3,MX-1,CD,no,none,NO,66.9,66.9,CMUD,CMUD,NO,97,,Wedge,East,Amanda Rosen,Monica Holmes,Sonja Sanders,,,2017/11/22 00:00:00+00,2018/06/18 00:00:00+00,App,http://charlottenc.gov/planning/Rezoning/RezoningPetitions/2017Petitions/Pages/2017-180.aspx,,,,,,,,,,,,,,,,,,1457375.8889770508,5439.883006027236,"{'lng': -80.65433731035502, 'lat': 35.22336045061197}"
566966,2014-109,"Midtown Area Partners II, LLC",R-8,R-8MF(PED-O),CD,no,PED-O,NO,1.99,1.99,CMUD,CMUD,YES,111,,Corridor,Central,Main_Kent,Dixon_Bridget,John Kinley,,YES,2014/08/25 00:00:00+00,2015/09/28 00:00:00+00,App,http://charlottenc.gov/planning/Rezoning/RezoningPetitions/2014Petitions/Pages/2014-109.aspx,NO,Resid8,,,,,,,,,,,,,,,,10906.848815917969,477.2550041912064,"{'lng': -80.8337274281171, 'lat': 35.21145963646083}"
566967,1985-035(C),,,R-12(CD),, ,,,,,,,,,,,,,,,,,,1985/11/04 00:00:00+00,,,,,,,,,,,,,,,,,,,,2821403.620239258,7630.4220030310025,"{'lng': -80.82524762749085, 'lat': 35.297972409188795}"
566968,2005-083,University City United Methodist Church,B-2(CD),INST(CD),CD,no,,,1.0651,14.63,CMUD,CMUD,YES,52,249,,Northeast,Cornett_Kathy,Dixon_Bridget,Sanders_Sonja,YES,,2005/02/28 00:00:00+00,2005/07/18 00:00:00+00,App,http://ww.charmeck.org/Planning/Rezoning/2005/2005-083%20Approved%20Site%20Plan.pdf,,,,,,,,,,,,,,,,,,46397.29473876953,1045.3298348478531,"{'lng': -80.79888762909287, 'lat': 35.33210880394181}"
566969,1988-046(C),,R-9,R-9(CD),,no,,,,,,,,,,,,,,,,,,1988/10/17 00:00:00+00,App,,,,,,,,,,,,,,,,,,,335480.40057373047,2408.8066410282436,"{'lng': -80.80100806346765, 'lat': 35.33739871910723}"
566970,2004-055,Daniel Levine,I-1,B-1(CD),CD,no,,,18.0553,76.4,CMUD,CMUD,YES,137,78,,South,Main_Kent,Dixon_Bridget,Drake_Tom,YES,Yes,2004/02/23 00:00:00+00,2004/11/15 00:00:00+00,App,http://ww.charmeck.org/Planning/Rezoning/2004/2004-055%20approved%20site%20plan.pdf,,,,,,,,,,,,,,,,,,786488.7272338867,4136.787999853588,"{'lng': -80.75109763202886, 'lat': 35.1569089829369}"
566971,2015-121,CitiSculpt,R-3,UR-2(CD),CD,no,none,NO,2.93,2.93,CMUD,CMUD,YES,147,,Wedge,South,Main_Kent,Dixon_Bridget,John Kinley,,,2015/08/14 00:00:00+00,,Wd,http://charlottenc.gov/planning/Rezoning/RezoningPetitions/2015Petitions/Pages/2015-121.aspx,,,,,,,,,,,,,,,,,,136177.7764892578,1702.0982071847855,"{'lng': -80.84240194505976, 'lat': 35.129769142007525}"
566972,2018-135,Woodlawn Station Holdings LLC,I-2,TOD-R(O),CD,no,none,NO,1.49,1.49,CMUD,CMUD,YES,126,,Corridor,South,Kent Main,Grant Meacci,John Kinley,,,2018/10/22 10:56:12+00,2019/03/18 00:00:07+00,App,http://charlottenc.gov/planning/Rezoning/RezoningPetitions/2018Petitions/Pages/2018-135.aspx,,,,,,,,,,,,,,,,,,66855.06268310547,1341.4645806613828,"{'lng': -80.8797473946314, 'lat': 35.17493416380152}"
566973,2005-102,"Robert T. Godley Family, LLC",I-1,I-2,NC,no,,,6.121,5.78,CMUD,CMUD,YES,88,215,,Northeast-Transit,Cornett_Kathy,Dixon_Bridget,Sanders_Sonja,YES,,2005/03/28 00:00:00+00,2005/09/19 00:00:00+00,App, ,,,,,,,,,,,,,,,,,,266630.51251220703,2314.6083582885076,"{'lng': -80.83248228849207, 'lat': 35.24025415109618}"
566974,2018-093,US DEVELOPMENT  INC,R-4,R-12MF(CD),CD,no,none,NO,1.43,1.43,CMUD,CMUD,YES,"126,134",,Wedger,Northwest,Alberto Gonzalez,Grant Meacci,Claire Lyte-Graham,,,2018/07/13 00:00:00+00,2018/12/17 00:00:00+00,App,http://charlottenc.gov/planning/Rezoning/RezoningPetitions/2018Petitions/Pages/2018-093.aspx,,,,,,,,,,,,,,,,,,63092.79364013672,1097.9317824878483,"{'lng': -80.89374241522547, 'lat': 35.16650211392563}"
566975,2003-012,,O-2,BD(CD),Conditional,no,,,,,,,,,,,,,,,,,,2003/09/15 00:00:00+00,App,,,,2005025; 2005038; 2005052,3/29/2005; 5/2/2005; 6/29/2005,"Brigham Enterprises, LLC","reduce sq. footage, clarify height & incorporate elevations and landscape plan into approval; clarify screening of rooftop mechanical equipment; revised elevations  for retail & office bldg. with a screening plan for north elevation",,,,,,,,,,,,122555.71270751953,1769.2202602318162,"{'lng': -80.8495478588392, 'lat': 35.165613046429016}"
566976,2016-104,Central Piedmont Community College,INST,O-1,NC,no,none,NO,8.11,8.11,CMUD,CMUD,YES,148,,Corridor,South,Main_Kent,Grant Meacci,John Kinleyi,,,2016/05/18 00:00:00+00,2016/10/17 00:00:00+00,App,http://charlottenc.gov/planning/Rezoning/RezoningPetitions/2016Petitions/Pages/2016-104.aspx,,Office1,,,,,,,,,,,,,,,,391879.9263305664,3006.4224194464036,"{'lng': -80.89388774607605, 'lat': 35.130420158690214}"
566977,1999-029(C),,R-3,MX-2,,no,,,,,,,,,,,,,,,,,,1999/07/13 00:00:00+00,App,,,,2005086,11/17/2005,H.C. Grimmer Dev. Co.,rearrangement of access points,,,,,,,,,,,,6183259.258300781,14912.446375910102,"{'lng': -80.7044264325199, 'lat': 35.34482042943886}"
566978,1988-056,,R-9,R-15MF,,no,,,,,,,,,,,,,,,,,,1988/08/15 00:00:00+00,App,,,,,,,,,,,,,,,,,,,118191.26885986328,1513.2370866025444,"{'lng': -80.79449545626194, 'lat': 35.271229330831105}"
566979,1993-031,,O-15(CD),B-1(CD),,no,,,,,,,,,,,,,,,,,,1993/07/19 00:00:00+00,App,,,,,,,,,,,,,,,,,,,64891.05712890625,1052.1046523354585,"{'lng': -80.72409160714388, 'lat': 35.30527466711198}"
566980,2014-092,Pavilion Development Company,CC,CC,CD,SPA,none,NO,1.79,1.79,CMUD,CMUD,YES,134,,Corridor,Southwest,,Goodwin_Alan,,,YES,2014/07/28 00:00:00+00,,Wd,http://charlottenc.gov/planning/Rezoning/RezoningPetitions/2014Petitions/Pages/2014-092.aspx,,,,,,,,,,,,,,,,,,126924.79278564453,1448.3416872440994,"{'lng': -80.89375564135206, 'lat': 35.164254107540415}"
566981,2019-102,City of Charlotte,B-1,TOD-NC,NC,no,HD,NO,1772.0,1772.0,CMUD,CMUD,YES,111,,Corridor,East,Scott Correll,Grant Meacci,Claire Lyte-Graham,,,2019/07/17 08:36:06+00,2019/11/18 00:00:00+00,App,https://charlottenc.gov/planning/Rezoning/RezoningPetitions/2019Petitions/Pages/2019-102.aspx,,,,,,,,,,,,,,,,,,155949.7889404297,2529.0238107171936,"{'lng': -80.85699098221883, 'lat': 35.21102962509022}"
566982,2002-057,,R-3,UR-2(CD),,no,,,,,,,,,,,,,,,,,,2002/06/17 00:00:00+00,App,http://ww.charmeck.org/Planning/Rezoning/2002/2002-057%20approved%20site%20plan.pdf,,,,,,,,,,,,,,,,,,294478.1920776367,2448.250662231114,"{'lng': -80.84337238836214, 'lat': 35.145338851599426}"
566983,1999-032,,R-17MF,O-1(CD),,no,,,,,,,,,,,,,,,,,,1999/04/19 00:00:00+00,App,,,,,,,,,,,,,,,,,,,21042.77178955078,641.4803927231369,"{'lng': -80.7578982855797, 'lat': 35.20685185715343}"
566984,2011-061,Robert D. Smith,R-3,INST(CD),CD,no,,NO,10.46,10.46,CMUD,CMUD,YES,38,252,Wedge,Northeast,Cornett_Kathy,Jones_Michelle,Sanders_Sonja,,,2011/07/25 00:00:00+00,2011/11/14 00:00:00+00,App,http://charlottenc.gov/planning/Rezoning/RezoningPetitions/2011_Petitions/Pages/2011-061.aspx ,,Inst,,,,,,,,,,,,,,,,10594.601623535156,411.6754097112874,"{'lng': -80.80176306137307, 'lat': 35.36719815698438}"
566985,2001-043,,B-1(CD),B-1(CD),,SPA,,,,,,,,,,,,,,,,,,2001/05/21 00:00:00+00,App,,,,,,,,,,,,,,,,,,,153489.208984375,1542.118481931902,"{'lng': -80.71214379357563, 'lat': 35.311793886372634}"
566986,2006-149,"Songbird Development, LLC",R-3,MX-1,CD,no,,,16.0,16.0,CMUD,CMUD,YES,133,162,,Southwest,Lyte-Graham_Claire,Vincent_Kourtnie,Keplinger_Tammie,YES,,2006/08/21 00:00:00+00,2006/12/18 00:00:00+00,App, ,,,,,,,,,,,,,,,,,,770730.7718505859,4060.4920599034062,"{'lng': -80.91946358395637, 'lat': 35.158552599633644}"
566987,1986-047(C),,,B-1SCD,, ,,,,,,,,,,,,,,,,,,1986/10/20 00:00:00+00,,,,,,,,,,,,,,,,,,,,2952396.1720581055,6981.3594771037815,"{'lng': -80.74375853458972, 'lat': 35.31692407291385}"
566988,2017-158,Roman C Garcia,R-12MF,B-2,NC,no,none,NO,1.58,1.58,CMUD,CMUD,NO,97,,Wedge,East,Amanda Rosen,Monica Holmes,Sonja Sanders,,,2017/09/25 00:00:00+00,2018/01/26 00:00:00+00,App,http://charlottenc.gov/planning/Rezoning/RezoningPetitions/2017Petitions/Pages/2017-158.aspx,,Retail,,,,,,,,,,,,,,,,37501.054748535156,983.6130945544674,"{'lng': -80.62647644942845, 'lat': 35.22482033075529}"
566989,2002-110,,"R-3, R-17MF, B-1SCD, R-3",CC,,no,,,,,,,,,,,,,,,,,,2002/11/18 00:00:00+00,App,http://ww.charmeck.org/Planning/Rezoning/2002/2002-110%20approved%20site%20plan.pdf,,,2005003; 2005043; 2005044; 2005071; 2006017; 2006020,1/5/2005; 5/16/2005; 5/16/2005; 9/14/2005; 4/21/2006; 5/8/2006,"Faison Enterprises, Inc.",###############################################################################################################################################################################################################################################################,,,,,,,,,,,,6618320.578125,10585.644189176024,"{'lng': -80.85479687928013, 'lat': 35.34999078794715}"
566990,2019-102,City of Charlotte,I-2,TOD-NC,NC,no,none,NO,1772.0,1772.0,CMUD,CMUD,YES,89,,Corridor,East,Travis Johnson,Grant Meacci,Will Linville,,,2019/07/17 08:36:06+00,2019/11/18 00:00:00+00,App,https://charlottenc.gov/planning/Rezoning/RezoningPetitions/2019Petitions/Pages/2019-102.aspx,,,,,,,,,,,,,,,,,,139811.69702148438,2516.733071588334,"{'lng': -80.81061072200008, 'lat': 35.2428602708049}"
