,NPA,year,Petitioner,FromZone,ToZone,Type,SPA,INNOV,Acres,Water,Sewer,CityLimit,CCW,ServiceArea,LuseStaff,UrbanDesign,RezoneStaff,Received,Approved,Decision,births_to_adolescents,grocery_proximate_units,prenatal_care,grocery_proximity,low_birthweight,public_health_insurance,age_of_death,impervious_surface,water_consumption,neighborhood_school_attendance,highschool_graduation_rate,proficiency_elementary_school,proficiency_middle_school,proficiency_high_school,student_absenteeism,voters_participating,neighborhood_organizations,voter_participation,vacant_land,population_density,population,transit_ridership,street_connectivity,bicycle_friendliness
222,51,2014,Hopper Comunities,R-22MF,UR-2(CD),CD,no,,2.69,CMUD,CMUD,YES,Wedge,Central,Gonzalez_Alberto,Jones_Michelle,,2014/07/28 00:00:00+00,2014/11/17 00:00:00+00,App,0.0,0.0,85.7,0.0,9.5,6.0,66.0,,108.0,45.24,,33.33333333333333,23.076923076923077,,8.88888888888889,454.0,2.0,45.0,,,,80.0,,
223,51,2014,Hopper Comunities,R-8MF,UR-2(CD),CD,no,,,,,YES,Wedge,Central,Gonzalez_Alberto,Jones_Michelle,,2014/07/28 00:00:00+00,2014/11/17 00:00:00+00,App,0.0,0.0,85.7,0.0,9.5,6.0,66.0,,108.0,45.24,,33.33333333333333,23.076923076923077,,8.88888888888889,454.0,2.0,45.0,,,,80.0,,
224,51,2017,The Drakeford Company,R-5,UR-2(CD),CD,no,NO,0.43,CMUD,CMUD,YES,Wedge&Corridor,Northwest,Alberto Gonzalez,Grant Meacci,Claire Lyte-Graham,2017/09/25 00:00:00+00,,,,0.0,,0.0,,6.0,,29.8,,20.0,,45.5,,,5.0,307.0,,20.0,8.3,5.0,1447.0,,1.35,1.7
225,51,2017,Mark Miller,I-2,MUDD-O,CD,no,NO,3.81,CMUD,CMUD,YES,Corridor,Northwest,Alberto Gonzalez,Grant Meacci,Claire Lyte-Graham,2017/09/25 00:00:00+00,2018/02/19 00:00:00+00,App,,0.0,,0.0,,6.0,,29.8,,20.0,,45.5,,,5.0,307.0,,20.0,8.3,5.0,1447.0,,1.35,1.7
226,51,2015,"Bojanlges' Restaurants, Inc.",B-1(PED),MUDD-O(PED),CD,no,NO,0.91,CMUD,CMUD,YES,Wedge,Central,Gonzalez_Alberto,Goodwin_Alan,Lyte-Graham_Claire,2015/03/23 00:00:00+00,2015/09/21 00:00:00+00,App,,0.0,,0.0,,8.0,,28.7,,45.71,,57.1428571428571,11.11,,11.1111111111111,200.0,2.0,18.0,8.4,5.0,1384.0,68.0,1.34,1.7
227,52,2019,"East Connections JV, LLC",NS,NS,CD,SPA,NO,13.18,CMUD,CMUD,YES,Corridor,South,Scott Correll,Grant Meacci,John Kinley,2019/03/01 13:27:15+00,2019/05/20 14:40:34+00,App,,,,,,,,,,,,,,,,,,,,,,,,
228,52,2017,Selwyn Property Group,O-1,NS,CD,no,NO,17.43,CMUD,CMUD,YES,Corridor,East,Amanda Vari,Monica Holmes,Sanders_Sonja,2016/10/24 00:00:00+00,2017/04/17 00:00:00+00,App,,0.0,,0.0,,29.0,,25.9,,83.0,93.0,15.3,10.3,35.7,17.0,83.0,,9.0,3.4,3.0,1620.0,,1.04,1.2
229,52,2017,Selwyn Property Group,O-1,MUDD-O,CD,no,NO,17.43,CMUD,CMUD,YES,Corridor,East,Amanda Vari,Monica Holmes,Sanders_Sonja,2016/10/24 00:00:00+00,2017/04/17 00:00:00+00,App,,0.0,,0.0,,29.0,,25.9,,83.0,93.0,15.3,10.3,35.7,17.0,83.0,,9.0,3.4,3.0,1620.0,,1.04,1.2
230,52,2017,Selwyn Property Group,O-2,MUDD-O,CD,no,NO,17.43,CMUD,CMUD,YES,Corridor,East,Amanda Vari,Monica Holmes,Sanders_Sonja,2016/10/24 00:00:00+00,2017/04/17 00:00:00+00,App,,0.0,,0.0,,29.0,,25.9,,83.0,93.0,15.3,10.3,35.7,17.0,83.0,,9.0,3.4,3.0,1620.0,,1.04,1.2
231,52,2017,Selwyn Property Group,O-2,NS,CD,no,NO,17.43,CMUD,CMUD,YES,Corridor,East,Amanda Vari,Monica Holmes,Sanders_Sonja,2016/10/24 00:00:00+00,2017/04/17 00:00:00+00,App,,0.0,,0.0,,29.0,,25.9,,83.0,93.0,15.3,10.3,35.7,17.0,83.0,,9.0,3.4,3.0,1620.0,,1.04,1.2
232,52,2017,Selwyn Property Group,B-1(CD),NS,CD,no,NO,17.43,CMUD,CMUD,YES,Corridor,East,Amanda Vari,Monica Holmes,Sanders_Sonja,2016/10/24 00:00:00+00,2017/04/17 00:00:00+00,App,,0.0,,0.0,,29.0,,25.9,,83.0,93.0,15.3,10.3,35.7,17.0,83.0,,9.0,3.4,3.0,1620.0,,1.04,1.2
233,52,2017,Selwyn Property Group,R-4,MUDD-O,CD,no,NO,17.43,CMUD,CMUD,YES,Corridor,East,Amanda Vari,Monica Holmes,Sanders_Sonja,2016/10/24 00:00:00+00,2017/04/17 00:00:00+00,App,,0.0,,0.0,,29.0,,25.9,,83.0,93.0,15.3,10.3,35.7,17.0,83.0,,9.0,3.4,3.0,1620.0,,1.04,1.2
234,52,2019,"East Connections JV, LLC",MUDD-O,MUDD-O,CD,SPA,NO,13.18,CMUD,CMUD,YES,Corridor,South,Scott Correll,Grant Meacci,John Kinley,2019/03/01 13:27:15+00,2019/05/20 14:40:15+00,App,,,,,,,,,,,,,,,,,,,,,,,,
235,52,2017,Selwyn Property Group,B-2,NS,CD,no,NO,17.43,CMUD,CMUD,YES,Corridor,East,Amanda Vari,Monica Holmes,Sanders_Sonja,2016/10/24 00:00:00+00,2017/04/17 00:00:00+00,App,,0.0,,0.0,,29.0,,25.9,,83.0,93.0,15.3,10.3,35.7,17.0,83.0,,9.0,3.4,3.0,1620.0,,1.04,1.2
236,53,2018,NRP Properties LLC,B-2(CD),R-17MF(CD),CD,no,NO,16.6,CMUD,CMUD,YES,Corridor,South,Kent Main,Grant Meacci,John Kinley,2018/12/14 10:32:44+00,2019/06/17 00:00:00+00,App,,388.0,,37.0,,,,19.2,150.0,,,,,,,630.0,,49.0,16.0,7.0,3070.0,,1.2,1.7
237,55,2019,Sinacori Builders,R-3,UR-2(CD),CD,no,NO,5.12,CMUD,CMUD,YES,Wedge,South,Scott Correll,Grant Meacci,John Kinley,2019/02/04 11:09:52+00,2019/07/15 00:00:00+00,App,,,,,,,,,,,,,,,,,,,,,,,,
238,55,2016,Blanchard Family (NC) LLC,R-3,UR-2(CD),CD,no,NO,5.08,CMUD,CMUD,YES,Wedge,South,Main_Kent,Dixon_Bridget,John Kinley,2015/10/26 00:00:00+00,2016/04/18 00:00:00+00,App,0.0,30.0,73.2,4.0,2.4,,76.0,19.2,181.0,79.4,100.0,57.78,56.3,69.2,9.0,1170.0,,84.0,7.0,4.0,2028.0,,1.12,1.5
239,58,2015,"Circle K Stores, Inc.",INST(CD),NS,CD,no,NO,1.03,CMUD,CMUD,YES,Wedge,East,Osborne_Alysia,Dixon_Bridget,Fortune_Solomon,2014/12/18 00:00:00+00,2015/04/20 00:00:00+00,App,,398.0,,82.0,,41.0,,22.9,,80.59,93.0,28.7671232876712,24.07,30.77,13.7795275590551,99.0,1.0,18.0,2.9,7.0,1508.0,78.0,1.17,1.4
240,58,2015,"Circle K Stores, Inc.",R-4,NS,CD,no,YES,1.03,CMUD,CMUD,YES,Wedge,East,Osborne_Alysia,Dixon_Bridget,Fortune_Solomon,2014/12/18 00:00:00+00,2015/04/20 00:00:00+00,App,,398.0,,82.0,,41.0,,22.9,,80.59,93.0,28.7671232876712,24.07,30.77,13.7795275590551,99.0,1.0,18.0,2.9,7.0,1508.0,78.0,1.17,1.4
241,58,2017,"C4 Investments, LLC",O-1,UR-2(CD),CD,no,NO,8.7,CMUD,CMUD,YES,Wedge,East,Mandy Rosen,Monica Holmes,Sanders_Sonja,2017/11/27 00:00:00+00,,Wd,,398.0,,54.0,,32.0,,22.9,,78.0,88.0,34.4,20.3,26.7,14.0,120.0,,23.0,2.9,7.0,1523.0,,1.17,1.4
242,58,2017,"C4 Investments, LLC",B-1SCD,UR-2(CD),CD,no,NO,8.7,CMUD,CMUD,YES,Wedge,East,Mandy Rosen,Monica Holmes,Sanders_Sonja,2017/11/27 00:00:00+00,,Wd,,398.0,,54.0,,32.0,,22.9,,78.0,88.0,34.4,20.3,26.7,14.0,120.0,,23.0,2.9,7.0,1523.0,,1.17,1.4
243,58,2015,"Circle K Stores, Inc.",B-1,NS,CD,no,NO,1.03,CMUD,CMUD,YES,Wedge,East,Osborne_Alysia,Dixon_Bridget,Fortune_Solomon,2014/12/18 00:00:00+00,2015/04/20 00:00:00+00,App,,398.0,,82.0,,41.0,,22.9,,80.59,93.0,28.7671232876712,24.07,30.77,13.7795275590551,99.0,1.0,18.0,2.9,7.0,1508.0,78.0,1.17,1.4
244,59,2017,K Sade Ventures,R-20MF(CD),R-12MF(CD),CD,no,NO,26.949,CMUD,CMUD,YES,Wedge,East,Mandy Rosen,Monica Holmes,Sanders_Sonja,2017/12/18 00:00:00+00,2018/04/16 00:00:00+00,App,,238.0,,25.0,,28.0,,19.5,,60.0,82.0,40.6,20.5,21.7,15.0,200.0,,13.0,14.7,8.0,2646.0,,1.15,1.5
245,59,2017,K Sade Ventures,R-3,R-12MF(CD),CD,no,NO,26.949,CMUD,CMUD,YES,Wedge,East,Mandy Rosen,Monica Holmes,Sanders_Sonja,2017/12/18 00:00:00+00,2018/04/16 00:00:00+00,App,,238.0,,25.0,,28.0,,19.5,,60.0,82.0,40.6,20.5,21.7,15.0,200.0,,13.0,14.7,8.0,2646.0,,1.15,1.5
246,59,2016,City of Charlotte,R-17MF,O-2,NC,no,NO,1.52,CMUD,CMUD,YES,Wedge,East,Amanda Vari,Monica Holmes,Sanders_Sonja,2016/04/19 00:00:00+00,2016/10/17 00:00:00+00,App,4.6,238.0,52.3,21.0,5.7,,69.0,19.4,142.0,58.9,89.0,34.07,24.6,18.8,16.0,885.0,,68.0,14.8,7.0,2568.0,,1.15,1.5
247,59,2017,BWN Investments,R-17MF,B-2(CD),CD,no,NO,3.35,CMUD,CMUD,YES,Wedge,East,Mandy Rosen,Monica Holmes,Sanders_Sonja,2018/12/18 00:00:00+00,2019/02/18 18:50:38+00,App,,238.0,,25.0,,28.0,,19.5,,60.0,82.0,40.6,20.5,21.7,15.0,200.0,,13.0,14.7,8.0,2646.0,,1.15,1.5
248,60,2018,Fountain Residential Partners,INST,MUDD-O,CD,no,NO,10.77,CMUD,CMUD,YES,Corridor,East,Mandy Rosen,Monica Holmes,Sonja Sanders,2018/06/04 00:00:00+00,2019/01/22 10:20:58+00,App,,0.0,,0.0,,,,12.5,,,,,,,,522.0,,38.0,22.8,7.0,5314.0,,1.23,1.3
249,60,2018,Fountain Residential Partners,R-12MF(CD),MUDD-O,CD,no,NO,10.77,CMUD,CMUD,YES,Corridor,East,Mandy Rosen,Monica Holmes,Sonja Sanders,2018/06/04 00:00:00+00,2019/01/22 10:21:26+00,App,,0.0,,0.0,,,,12.5,,,,,,,,522.0,,38.0,22.8,7.0,5314.0,,1.23,1.3
250,64,2014,"Shea & Shea, LLC",INST,R-17MF,NC,no,NO,2.59,CMUD,CMUD,YES,Corridor,Northeast,Cornett_Kathy,Goodwin_Alan,Fortune_Solomon,2013/11/25 00:00:00+00,,Wd,0.0,723.0,61.8,37.0,11.2,11.0,60.0,,145.0,68.93,62.0,32.075471698113205,22.5,16.666666666666664,10.743801652892563,542.0,0.0,34.0,,,,11.0,,
251,64,2014,Roman Catholic Diocese of Charlotte,INST(CD),INST(CD),CD,SPA,NO,10.0,CMUD,CMUD,YES,Corridor,Northeast,Cornett_Kathy,Goodwin_Alan,Fortune_Solomon,2014/04/28 00:00:00+00,2014/09/15 00:00:00+00,App,0.0,723.0,61.8,37.0,11.2,11.0,60.0,,145.0,68.93,62.0,32.075471698113205,22.5,16.666666666666664,10.743801652892563,542.0,0.0,34.0,,,,11.0,,
252,64,2016,Haven Campus Communities,O-1(CD),MUDD-O,CD,no,NO,6.837999999999999,CMUD,CMUD,YES,Corridor,East,Amanda Vari,Monica Holmes,Sanders_Sonja,2016/03/28 00:00:00+00,2016/11/21 00:00:00+00,App,2.2,794.0,54.8,39.0,5.4,,63.0,30.7,151.0,69.9,81.0,39.13,25.0,25.0,16.0,1534.0,,66.0,9.3,12.0,4523.0,,1.21,1.2
253,64,2016,Haven Campus Communities,INST,MUDD-O,CD,no,NO,6.837999999999999,CMUD,CMUD,YES,Corridor,East,Amanda Vari,Monica Holmes,Sanders_Sonja,2016/03/28 00:00:00+00,2016/11/21 00:00:00+00,App,2.2,794.0,54.8,39.0,5.4,,63.0,30.7,151.0,69.9,81.0,39.13,25.0,25.0,16.0,1534.0,,66.0,9.3,12.0,4523.0,,1.21,1.2
254,64,2016,"Marnicaly at UNCC, LLC (c/o Kevin Shea)",INST,UR-2(CD),CD,SPA,NO,2.59,CMUD,CMUD,YES,Corridor,East,Amanda Vari,Monica Holmes,Sonja Sanders,2016/01/25 00:00:00+00,2016/06/20 00:00:00+00,App,2.2,794.0,54.8,39.0,5.4,,63.0,30.7,151.0,69.9,81.0,39.13,25.0,25.0,16.0,1534.0,,66.0,9.3,12.0,4523.0,,1.21,1.2
255,64,2019,United Community School,INST(CD),INST(CD),CD,SPA,NO,10.0,CMUD,CMUD,YES,Corridor,East,Amanda Avari,Grant Meacci,Sonja Sanders,2019/02/21 11:30:03+00,2019/07/15 00:00:00+00,App,,,,,,,,,,,,,,,,,,,,,,,,
256,64,2017,"Harris Teeter, LLC",B-1 SCD,B-2(CD),CD,no,NO,0.53,CMUD,CMUD,YES,Corridor,East,Amanda Vari,Monica Holmes,Sanders_Sonja,2017/07/20 00:00:00+00,2017/11/20 00:00:00+00,App,,1312.0,,51.0,,10.0,,30.1,,71.0,82.0,44.1,20.6,38.9,17.0,252.0,,9.0,9.3,14.0,5463.0,,1.21,1.2
257,64,2016,Haven Campus Communities,R-3,MUDD-O,CD,no,NO,6.837999999999999,CMUD,CMUD,YES,Corridor,East,Amanda Vari,Monica Holmes,Sanders_Sonja,2016/03/28 00:00:00+00,2016/11/21 00:00:00+00,App,2.2,794.0,54.8,39.0,5.4,,63.0,30.7,151.0,69.9,81.0,39.13,25.0,25.0,16.0,1534.0,,66.0,9.3,12.0,4523.0,,1.21,1.2
258,65,2015,David Powlen,CC,CC,CD,SPA,NO,2.85,CMUD,CMUD,YES,Corridor,East,Mandy Vari,Monica Holmes,Sanders_Sonja,2015/06/18 00:00:00+00,2015/11/16 00:00:00+00,App,,0.0,,0.0,,4.0,,15.5,,68.0,,34.7826086956522,11.11,,5.17241379310345,26.0,0.0,4.0,43.5,6.0,2212.0,,1.27,1.3
259,65,2015,"J.R. Davis, LLC",BD(CD),CC,CD,no,NO,11.65,CMUD,CMUD,YES,Corridor,Northeast,Cornett_Kathy,Goodwin_Alan,,2014/11/24 00:00:00+00,2015/03/16 00:00:00+00,App,,0.0,,0.0,,4.0,,15.5,,68.0,,34.7826086956522,11.11,,5.17241379310345,26.0,0.0,4.0,43.5,6.0,2212.0,,1.27,1.3
260,65,2015,"J.R. Davis, LLC",CC,BD(CD),CD,no,NO,6.38,CMUD,CMUD,YES,Corridor,Northeast,Cornett_Kathy,Goodwin_Alan,,2014/11/24 00:00:00+00,2015/03/16 00:00:00+00,App,,0.0,,0.0,,4.0,,15.5,,68.0,,34.7826086956522,11.11,,5.17241379310345,26.0,0.0,4.0,43.5,6.0,2212.0,,1.27,1.3
261,66,2018,EBA Crystal Real Estate LLC,CC,MUDD-O,CD,no,NO,20.56,CMUD,CMUD,YES,Corridor,East,Mandy Rosen,Monica Holmes,Sanders_Sonja,2018/11/21 09:15:28+00,2019/07/15 00:00:00+00,App,,1353.0,,100.0,,,,42.4,,,,,,,,474.0,,52.0,5.3,7.0,2746.0,,1.12,1.2
262,66,2018,Andrew J. Kalinoski,CC,B-1 TS,NC,no,NO,2.19,CMUD,CMUD,YES,Corridor,East,Mandy Rosen,Monica Holmes,Sanders_Sonja,2018/01/22 00:00:00+00,2018/06/18 00:00:00+00,App,,1353.0,,100.0,,,,42.4,,,,,,,,474.0,,52.0,5.3,7.0,2746.0,,1.12,1.2
263,68,2015,Childress Klein,B-1SCD,CC,CD,no,NO,1.56,CMUD,CMUD,YES,Wedge,Southwest,Catherine Stutts,Dixon_Bridget,Lyte-Graham_Claire,2015/02/23 00:00:00+00,2015/12/14 00:00:00+00,App,,548.0,,48.0,,20.0,,23.2,,53.37,97.0,40.0,36.84,68.18,9.6045197740113,170.0,0.0,13.0,26.3,2.0,2481.0,20.0,1.09,1.2
264,70,2014,Victor King,I-2,I-1(CD),CD,no,NO,12.33,CMUD,CMUD,YES,Industrial Activity Center,Central,Gonzalez_Alberto,Goodwin_Alan,Fortune_Solomon,2013/11/25 00:00:00+00,,Wd,11.1,357.0,63.0,68.0,3.7,50.0,72.0,,117.0,59.74,77.0,26.47058823529412,17.857142857142858,22.22222222222222,14.102564102564102,555.0,3.0,56.0,,,,262.0,,
265,72,2018,Metrolina Properties Limited Partnership,BP,UR-2(CD),CD,no,NO,15.78,CMUD,CMUD,NO,Mixed Use Activity Center,Northwest,Alberto Gonzalez,Grant Meacci,Claire Lyte-Graham,2018/03/23 00:00:00+00,2018/06/18 00:00:00+00,App,,676.0,,37.0,,,,19.7,154.0,,,,,,,853.0,,57.0,25.8,4.0,4320.0,,1.32,1.4
266,72,2017,Starwood Retail Partners,CC,CC,CD,SPA,NO,14.4,CMUD,CMUD,YES,Mixed Use Activity Center,Northwest,Alberto Gonzalez,Grant Meacci,Claire Lyte-Graham,2017/10/20 00:00:00+00,,Wd,,547.0,,37.0,,8.0,,19.7,,74.0,84.0,50.9,47.3,36.4,15.0,250.0,,14.0,25.8,3.0,3431.0,,1.32,1.4
267,72,2016,"Woodfiled Acquisitions, LLC",R-3,UR-3(CD),CD,no,NO,21.62,CMUD,CMUD,YES,Mixed Use Activity Center,Northwest,Gonzalez_Alberto,Grant Meacci,Lyte-Graham_Claire,2016/02/22 00:00:00+00,2016/07/18 00:00:00+00,App,1.6,549.0,71.4,49.0,6.4,,60.0,19.4,161.0,73.4,100.0,51.72,54.2,40.9,8.0,1048.0,,76.0,25.8,2.0,2661.0,,1.32,1.4
268,72,2017,"Northlake Systems, LLC",R-17MF,MUDD(O),CD,no,NO,7.12,CMUD,CMUD,YES,Mixed Use Activity Center,Northwest,Gonzalez_Alberto,Grant Meacci,Lyte-Graham_Claire,2017/01/23 00:00:00+00,2018/10/15 00:00:00+00,App,,547.0,,37.0,,8.0,,19.7,,74.0,84.0,50.9,47.3,36.4,15.0,250.0,,14.0,25.8,3.0,3431.0,,1.32,1.4
269,72,2016,"Woodfiled Acquisitions, LLC",CC,UR-3(CD),CD,no,NO,0.068,CMUD,CMUD,YES,Mixed Use Activity Center,Northwest,Gonzalez_Alberto,Grant Meacci,Lyte-Graham_Claire,2016/02/22 00:00:00+00,2016/07/18 00:00:00+00,App,1.6,549.0,71.4,49.0,6.4,,60.0,19.4,161.0,73.4,100.0,51.72,54.2,40.9,8.0,1048.0,,76.0,25.8,2.0,2661.0,,1.32,1.4
270,72,2020,Eastwood Homes,R-3,R-8MF,NC,no,NO,5.1,CMUD,CMUD,NO,Wedge,North,Michael Russell,Grant Meacci,Molly Kaminski,2020/04/30 10:32:34+00,,Wd,,,,,,,,,,,,,,,,,,,,,,,,
271,72,2018,Metrolina Properties Limited Partnership,R-3,UR-2(CD),CD,no,NO,15.78,CMUD,CMUD,NO,Mixed Use Activity Center,Northwest,Alberto Gonzalez,Grant Meacci,Claire Lyte-Graham,2018/03/23 00:00:00+00,2018/06/18 00:00:00+00,App,,676.0,,37.0,,,,19.7,154.0,,,,,,,853.0,,57.0,25.8,4.0,4320.0,,1.32,1.4
272,72,2019,"Woda Cooper Development, Inc.",R-3,UR-2(CD),CD,no,NO,6.54,CMUD,CMUD,NO,Mixed Use Activity Center,North,Erin Brooks,Grant Meacci,Michael Russell,2019/12/06 11:16:00+00,2020/05/18 00:00:00+00,App,,,,,,,,,,,,,,,,,,,,,,,,
273,72,2017,"Northlake Systems, LLC",CC,MUDD(O),CD,no,NO,7.12,CMUD,CMUD,YES,Mixed Use Activity Center,Northwest,Gonzalez_Alberto,Grant Meacci,Lyte-Graham_Claire,2017/01/23 00:00:00+00,2018/10/15 00:00:00+00,App,,547.0,,37.0,,8.0,,19.7,,74.0,84.0,50.9,47.3,36.4,15.0,250.0,,14.0,25.8,3.0,3431.0,,1.32,1.4
274,72,2019,Davis Development,BP,UR-2(CD),CD,no,NO,15.55,CMUD,CMUD,NO,Mixed Use Activity Center,North,Charlotte Lamb,Grant Meacci,Michael Russell,2019/04/05 00:00:00+00,2019/10/21 08:52:10+00,App,,,,,,,,,,,,,,,,,,,,,,,,
275,72,2017,"Northlake Systems, LLC",R-3,MUDD(O),CD,no,NO,7.12,CMUD,CMUD,YES,Mixed Use Activity Center,Northwest,Gonzalez_Alberto,Grant Meacci,Lyte-Graham_Claire,2017/01/23 00:00:00+00,2018/10/15 00:00:00+00,App,,547.0,,37.0,,8.0,,19.7,,74.0,84.0,50.9,47.3,36.4,15.0,250.0,,14.0,25.8,3.0,3431.0,,1.32,1.4
276,72,2014,"Sam's Real Estate Holdings, Georgia, LLC",R-3,NS,CD,no,NO,1.9,CMUD,CMUD,YES,Mixed Use Activity Center,Northwest,,Goodwin_Alan,Lyte-Graham_Claire,2013/11/25 00:00:00+00,,Wd,0.0,550.0,63.0,47.0,5.6,7.0,66.0,,155.0,76.33,100.0,58.06451612903226,35.0,46.15384615384615,5.82010582010582,490.0,1.0,50.0,,,,276.0,,
277,72,2015,"Sam's Investments IV, LLC",R-3,NS,CD,no,NO,1.9,CMUD,CMUD,YES,Mixed Use Activity Center,Northwest,,Goodwin_Alan,Sanders_Sonja,2013/10/24 00:00:00+00,,Wd,,549.0,,47.0,,7.0,,18.7,,72.84,100.0,55.1724137931034,50.0,20.0,7.14285714285714,115.0,2.0,11.0,25.8,2.0,2766.0,222.0,1.31,1.4
278,72,2018,DavidLand LLC,BD(CD),I-1,NC,no,NO,2.44,CMUD,CMUD,NO,Corridor,Northwest,Gonzalez_Alberto,Grant Meacci,Lyte-Graham_Claire,2018/11/09 13:29:57+00,2019/03/18 00:00:07+00,App,,676.0,,37.0,,,,19.7,154.0,,,,,,,853.0,,57.0,25.8,4.0,4320.0,,1.32,1.4
279,72,2018,DavidLand LLC,BD(CD),I-1,NC,no,NO,2.44,CMUD,CMUD,NO,Corridor,Northwest,Gonzalez_Alberto,Grant Meacci,Lyte-Graham_Claire,2018/11/09 13:29:57+00,2019/03/18 00:00:07+00,App,,676.0,,37.0,,,,19.7,154.0,,,,,,,853.0,,57.0,25.8,4.0,4320.0,,1.32,1.4
280,73,2018,"Moores Chapel Retail, LLC",R-3,B-1(CD),CD,no,NO,3.99,CMUD,CMUD,YES,Wedge,West,Alberto Gonzalez,Grant Meacci,Claire Lyte-Graham,2018/06/29 00:00:00+00,2019/10/21 08:49:06+00,App,,51.0,,4.0,,,,7.2,127.0,,,,,,,1065.0,,61.0,33.4,1.0,3056.0,,1.18,1.2
281,73,2020,"Diamondback Acquisition Company, LLC",MX-2,MX-2,CD,SPA,NO,45.583,CMUD,CMUD,YES,Wedge,West,Lisa Arnold,Grant Meacci,Alberto Gonzalez,2020/04/23 12:25:58+00,,Wd,,,,,,,,,,,,,,,,,,,,,,,,
282,73,2019,BSL Galbreath Inc,R-3,I-2(CD),CD,no,NO,8.7,CMUD,CMUD,NO,Wedge,West,Alberto Gonzalez,Grant Meacci,Claire Lyte-Graham,2019/02/25 11:45:33+00,2019/12/16 00:00:00+00,App,,,,,,,,,,,,,,,,,,,,,,,,
283,73,2019,"HK Cedarvale, LLC",R-MH,I-2(CD),CD,no,NO,9.89,CMUD,CMUD,YES,Corridor,West,Alberto Gonzalez,Grant Meacci,Claire Lyte-Graham,2019/02/19 11:25:17+00,2019/07/15 00:00:00+00,App,,,,,,,,,,,,,,,,,,,,,,,,
284,73,2019,"DJ Family Farms, LLC",R-3,I-1,NC,no,NO,1.27,CMUD,CMUD,NO,Corridor,West,Alberto Gonzalez,Grant Meacci,Lisa Arnold,2019/08/30 13:08:06+00,2020/01/21 00:00:02+00,App,,,,,,,,,,,,,,,,,,,,,,,,
285,73,2019,"Diamondback Acquisitions Company, LLC",R-3,MX-2,CD,no,NO,43.58,CMUD,CMUD,YES,Wedge,West,Alberto Gonzalez,Grant Meacci,Claire Lyte-Graham,2019/03/06 15:42:21+00,2019/07/15 00:00:00+00,App,,,,,,,,,,,,,,,,,,,,,,,,
286,73,2016,Loves Travel Stop and Country Store,B-2,I-2(CD),CD,SPA,NO,0.7829999999999999,CMUD,CMUD,NO,Corridor,Northwest,Gonzalez_Alberto,Grant Meacci,Lyte-Graham_Claire,2016/01/25 00:00:00+00,2016/06/20 00:00:00+00,App,1.0,67.0,61.4,6.0,10.9,,74.0,6.9,126.0,75.0,74.0,48.46,35.2,26.9,13.0,1374.0,,70.0,33.4,1.0,2938.0,,1.18,1.2
287,73,2017,Direct Power. Inc.,R-3,I-1 (CD),CD,no,NO,14.0,CMUD,CMUD,NO,Wedge,Northwest,Gonzalez_Alberto,Grant Meacci,Lyte-Graham_Claire,2017/04/24 00:00:00+00,2017/09/18 00:00:00+00,App,,67.0,,4.0,,20.0,,6.9,,74.0,77.0,54.6,38.6,33.3,12.0,309.0,,15.0,33.4,1.0,2951.0,,1.18,1.2
288,73,2016,Loves Travel Stop and Country Store,CC,I-2(CD),CD,SPA,NO,9.44,CMUD,CMUD,NO,Corridor,Northwest,Gonzalez_Alberto,Grant Meacci,Lyte-Graham_Claire,2016/01/25 00:00:00+00,2016/06/20 00:00:00+00,App,1.0,67.0,61.4,6.0,10.9,,74.0,6.9,126.0,75.0,74.0,48.46,35.2,26.9,13.0,1374.0,,70.0,33.4,1.0,2938.0,,1.18,1.2
289,75,2015,"Real Estate Services Group, Inc.",R-3,O-1(CD),CD,no,NO,1.55,CMUD,CMUD,YES,Wedge,South,Main_Kent,Dixon_Bridget,John Kinley,2015/03/23 00:00:00+00,2015/07/20 00:00:00+00,App,,708.0,,89.0,,6.0,,18.6,,93.33,100.0,85.2459016393443,85.71,84.62,3.08219178082192,157.0,0.0,16.0,17.4,6.0,2059.0,,1.11,1.3
290,76,2020,Christ the King Lutheran Church,R-3,INST,NC,no,NO,15.8,CMUD,CMUD,YES,Wedge,West,Alberto Gonzalez,Grant Meacci,Lisa Arnold,2020/01/06 00:00:00+00,2020/06/15 00:00:00+00,App,,,,,,,,,,,,,,,,,,,,,,,,
291,76,2016,"K&H Development, Inc.",O-1(CD),BD(CD),CD,no,NO,3.28,CMUD,CMUD,YES,Wedge,Northwest,Gonzalez_Alberto,Grant Meacci,Lyte-Graham_Claire,2016/08/18 00:00:00+00,2016/12/19 00:00:00+00,App,1.0,3.0,77.0,0.0,1.0,,68.0,7.9,155.0,59.7,78.0,60.75,40.4,64.9,4.0,1630.0,,79.0,19.4,3.0,3335.0,,1.12,1.2
292,76,2018,R2 Development,R-3,UR-1(CD),CD,no,NO,7.69,CMUD,CMUD,NO,Wedge,Northwest,Alberto Gonzalez,Grant Meacci,Claire Lyte-Graham,2018/06/05 00:00:00+00,2018/11/19 11:02:19+00,App,,17.0,,1.0,,,,8.1,144.0,,,,,,,1197.0,,62.0,19.4,3.0,3390.0,,1.13,1.3
